Time (ns),Br25 ref,Br25 IMN,Br25 EDA,EDA ref,EDA IMN,EDA EDA,IMN ref,IMN IMN,IMN EDA
62.208,28,72,57,70,42,96,124,132,77
62.336,19,61,53,64,39,94,106,131,81
62.464,27,58,50,77,43,106,148,129,67
62.592,29,63,40,73,52,80,141,141,71
62.72,23,56,39,77,37,85,119,123,62
62.848,29,64,47,78,35,88,137,137,82
62.976,20,75,64,59,44,85,139,127,77
63.104,23,73,56,74,44,97,115,144,77
63.232,26,71,53,87,45,85,110,154,71
63.36,22,69,51,78,57,88,118,116,80
63.488,25,48,56,66,35,94,128,138,87
63.616,40,78,54,83,46,81,101,157,71
63.744,20,51,52,62,34,90,111,138,72
63.872,24,71,42,67,39,108,131,144,92
64,18,60,40,72,32,103,119,106,77
64.128,27,77,48,85,55,92,113,122,82
64.256,17,86,55,68,37,82,120,111,83
64.384,30,66,62,66,40,83,125,126,66
64.512,30,70,45,53,52,78,121,130,87
64.64,30,68,31,71,42,91,115,126,80
64.768,34,70,39,57,35,76,120,131,89
64.896,15,87,43,59,33,93,124,124,73
65.024,20,56,45,61,41,92,107,130,58
65.152,23,74,45,77,33,91,101,127,68
65.28,19,65,44,58,42,93,105,137,70
65.408,23,55,35,69,50,88,118,134,88
65.536,31,50,53,64,37,100,111,135,75
65.664,21,66,53,70,36,87,115,134,69
65.792,25,47,55,53,30,88,122,117,80
65.92,21,61,44,68,29,84,108,140,77
66.048,31,69,46,46,34,65,116,132,91
66.176,30,64,44,68,33,108,109,110,69
66.304,29,62,49,52,30,91,112,121,79
66.432,20,60,43,55,38,75,113,123,88
66.56,26,63,49,56,31,83,106,113,84
66.688,21,82,41,57,33,90,111,145,62
66.816,17,67,43,67,24,77,133,133,70
66.944,19,67,51,57,39,97,110,122,74
67.072,22,79,38,51,37,80,126,122,78
67.2,21,51,48,49,46,95,121,129,93
67.328,24,59,42,70,35,82,110,120,78
67.456,27,60,43,74,29,83,117,112,68
67.584,31,61,35,57,26,73,115,142,82
67.712,30,68,42,70,30,93,102,120,66
67.84,17,65,45,54,36,66,113,118,76
67.968,23,52,37,77,32,95,104,111,72
68.096,24,61,49,64,27,88,108,129,84
68.224,22,74,31,55,38,84,115,136,77
68.352,14,70,39,66,42,89,115,133,63
68.48,21,52,37,72,25,69,125,137,60
