#PicoHarp 300  Histogram Data			04/11/2023 03:56:27 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
12	21	35	43	32	
5	18	48	54	49	
8	21	39	48	54	
10	24	44	50	48	
11	18	32	50	59	
8	30	46	47	54	
12	21	45	56	58	
13	20	41	47	51	
10	22	41	52	56	
9	30	41	52	63	
11	15	39	52	43	
8	31	40	48	59	
6	18	40	56	58	
9	12	47	44	52	
10	17	40	57	65	
11	25	42	58	36	
7	20	43	47	54	
10	23	31	47	55	
7	39	29	36	46	
11	31	31	38	50	
8	21	36	50	60	
6	23	33	42	48	
7	14	46	33	57	
10	25	27	52	55	
6	32	37	53	49	
10	28	36	50	53	
13	11	35	41	54	
13	27	33	45	51	
9	17	41	39	36	
14	25	30	55	52	
11	26	35	59	47	
9	33	39	46	74	
8	24	34	51	47	
12	29	39	46	49	
7	21	41	39	49	
13	21	40	46	49	
6	24	42	51	53	
6	30	45	45	51	
8	19	44	45	37	
15	34	33	45	45	
14	16	38	49	51	
10	11	34	51	41	
4	16	42	51	51	
10	21	28	51	69	
8	18	42	40	55	
7	20	32	57	53	
12	19	33	58	51	
8	15	37	41	43	
11	24	43	50	48	
6	21	53	55	52	
9	19	37	54	43	
9	18	32	40	53	
9	23	49	50	45	
10	25	33	48	62	
10	22	30	41	46	
9	22	28	41	51	
1	25	44	57	55	
10	25	36	52	66	
8	24	33	42	37	
11	24	43	46	41	
10	31	51	55	42	
14	25	38	46	42	
6	19	39	43	48	
4	19	47	48	57	
10	22	40	39	48	
11	24	39	51	58	
16	25	38	46	48	
4	22	46	67	50	
15	30	29	39	45	
9	25	34	48	49	
12	30	44	44	66	
6	21	41	48	63	
8	29	38	51	42	
8	25	44	41	44	
7	22	43	43	56	
11	16	45	43	43	
7	20	38	51	61	
5	22	25	44	55	
17	19	36	49	61	
14	27	37	34	56	
10	16	42	53	41	
5	22	44	51	60	
9	23	35	50	46	
10	14	39	48	54	
8	19	32	41	46	
7	18	33	46	53	
10	19	34	46	50	
9	24	45	51	51	
9	18	37	45	54	
12	17	34	48	52	
11	12	36	42	57	
13	20	39	53	55	
9	20	46	51	56	
14	19	52	60	48	
7	12	33	51	45	
9	19	47	42	41	
11	21	28	41	58	
10	28	32	37	43	
6	24	36	44	50	
14	24	34	59	50	
9	16	24	62	55	
9	18	36	47	46	
9	16	31	58	48	
9	10	45	47	53	
14	29	34	45	47	
10	15	29	46	41	
10	19	36	35	45	
10	20	36	53	51	
7	22	39	59	39	
5	18	42	44	47	
6	11	44	39	47	
6	24	27	45	36	
7	23	33	68	40	
11	33	31	43	49	
12	16	29	42	54	
9	14	35	49	65	
11	25	37	41	60	
12	14	27	45	61	
9	17	33	50	37	
10	15	44	38	55	
7	19	34	42	43	
10	19	44	42	50	
11	16	30	44	53	
11	29	33	45	41	
7	16	38	40	56	
9	21	52	47	50	
17	14	29	48	47	
7	16	38	42	45	
9	23	34	54	52	
10	24	35	47	57	
6	18	34	47	50	
9	23	49	45	54	
12	22	30	45	47	
9	24	48	32	49	
6	24	32	46	53	
11	22	32	47	47	
8	16	38	33	44	
6	17	32	48	49	
10	21	39	43	44	
8	19	47	37	60	
12	19	34	50	63	
8	14	35	38	54	
8	15	27	52	51	
9	27	36	53	47	
11	22	47	42	46	
10	25	37	48	37	
10	18	37	43	61	
7	22	30	48	57	
9	22	40	44	56	
7	16	40	41	59	
9	24	31	43	48	
8	25	38	46	67	
10	22	28	36	57	
13	17	46	51	57	
5	16	34	41	56	
9	31	34	55	55	
6	19	45	41	48	
12	21	24	45	49	
9	37	35	50	45	
9	24	39	42	43	
4	20	44	41	50	
5	25	42	53	49	
9	22	33	32	54	
9	12	28	49	36	
8	26	35	46	44	
5	26	49	34	45	
12	16	34	45	47	
2	27	49	49	55	
8	19	34	33	51	
14	21	35	45	59	
12	21	35	37	59	
7	18	35	37	49	
10	22	40	39	50	
8	19	39	34	52	
11	15	36	35	59	
16	18	38	42	53	
7	12	32	55	49	
