,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
159.744,24,59,45,64,49,59,51,59,45,50
160.256,31,42,54,70,49,34,41,64,54,45
160.768,27,44,43,56,55,67,52,51,69,44
161.28,34,62,48,45,57,46,52,67,40,36
161.792,28,38,65,58,59,48,59,61,58,37
162.304,31,53,56,44,57,40,56,60,38,45
162.816,37,49,60,50,50,57,48,74,56,41
163.328,24,44,58,61,50,50,62,51,53,45
163.84,25,35,49,56,58,49,55,71,53,31
164.352,25,39,66,69,54,55,58,77,48,44
164.864,32,37,47,70,61,51,42,65,51,43
165.376,27,59,49,59,58,49,66,67,52,27
165.888,19,32,55,60,59,41,68,68,50,34
166.4,20,35,53,62,52,59,65,61,66,40
166.912,25,42,52,56,55,41,54,62,55,33
167.424,21,47,52,59,55,51,43,75,68,40
167.936,43,49,53,67,49,64,47,56,52,41
168.448,35,48,49,51,50,48,55,65,59,37
168.96,35,50,52,63,63,51,59,68,62,54
169.472,28,40,53,62,63,55,47,77,57,43
169.984,21,51,58,62,58,51,38,53,56,39
170.496,20,50,50,51,53,53,58,56,48,33
171.008,24,43,49,51,64,49,41,67,49,39
171.52,20,40,58,62,66,46,58,62,53,34
172.032,26,52,43,60,60,44,49,64,62,46
172.544,29,41,50,71,43,40,50,59,48,46
173.056,19,46,53,52,50,61,47,74,58,46
173.568,29,40,48,61,46,47,48,63,47,46
174.08,43,48,57,58,55,37,61,68,57,33
174.592,22,44,59,42,43,57,54,80,57,43
175.104,27,43,45,57,71,39,47,61,44,41
175.616,23,34,51,58,57,47,51,65,50,52
176.128,29,41,59,58,54,48,43,61,41,45
176.64,22,40,39,57,61,49,62,50,54,41
177.152,30,46,71,58,47,53,62,82,60,36
177.664,24,51,54,50,48,50,51,59,48,44
178.176,33,40,46,64,55,46,50,70,60,40
178.688,33,49,48,58,62,49,58,44,53,50
179.2,25,43,41,54,52,41,42,51,55,42
179.712,30,35,50,45,53,39,57,70,60,41
