#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
36	27	32	51	37	
38	39	56	52	40	
32	36	44	47	37	
25	36	60	42	35	
32	33	50	38	34	
22	29	48	40	40	
32	33	68	38	40	
27	27	56	46	44	
34	29	52	47	29	
18	37	44	47	36	
33	33	57	47	28	
45	28	56	41	38	
33	36	53	55	37	
26	38	46	45	37	
21	37	55	52	30	
24	42	41	44	31	
22	32	46	44	26	
34	35	51	44	30	
30	39	57	47	43	
26	30	45	53	38	
28	34	46	44	38	
27	42	59	52	40	
30	32	52	50	38	
29	44	49	43	44	
30	32	48	58	37	
27	36	50	46	43	
30	34	41	41	43	
26	35	51	52	33	
33	36	52	52	44	
31	28	45	45	23	
24	34	52	45	47	
29	27	45	52	38	
40	45	51	31	42	
37	50	57	51	40	
26	38	60	48	38	
29	38	59	47	42	
31	34	61	31	35	
35	30	54	42	40	
32	35	48	49	46	
33	45	42	42	46	
25	36	48	50	41	
25	34	53	53	45	
28	33	49	62	39	
25	47	51	43	33	
33	27	49	41	47	
30	36	44	47	50	
35	33	54	58	39	
27	28	41	41	46	
28	37	59	52	40	
30	32	52	40	32	
23	23	53	44	29	
42	40	51	51	44	
25	31	70	39	40	
31	35	46	45	32	
25	31	42	43	43	
26	37	59	46	36	
27	33	53	52	30	
35	33	53	47	37	
33	32	54	46	34	
33	40	45	41	36	
30	33	65	45	36	
30	32	56	45	36	
17	31	58	46	29	
32	39	45	32	37	
34	30	42	55	35	
42	39	46	49	27	
35	39	54	53	42	
26	26	39	45	42	
30	39	44	45	32	
28	35	44	33	42	
27	38	66	53	32	
22	43	59	56	36	
35	39	43	47	44	
40	39	45	48	35	
32	45	55	54	41	
25	32	60	45	27	
26	34	42	31	33	
23	39	52	52	40	
24	41	56	44	36	
23	30	41	44	43	
31	31	50	51	29	
18	31	48	44	41	
23	34	49	60	35	
27	41	47	38	35	
28	23	52	46	42	
