Labels	APTMethylS_Br25_1	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

290.039060	7.20000000E+1	
290.527340	8.30000000E+1	
291.015630	7.30000000E+1	
291.503910	8.20000000E+1	
291.992190	6.40000000E+1	
292.480470	5.90000000E+1	
292.968750	7.70000000E+1	
293.45700	6.80000000E+1	
293.945310	8.80000000E+1	
294.433590	6.40000000E+1	
294.921880	5.60000000E+1	
295.410160	8.10000000E+1	
295.898440	8.10000000E+1	
296.386720	6.50000000E+1	
296.87500	5.80000000E+1	
297.363280	7.50000000E+1	
297.851560	7.20000000E+1	
298.339840	6.20000000E+1	
298.828130	5.80000000E+1	
299.316410	6.30000000E+1	
299.804690	6.80000000E+1	
300.29300	6.70000000E+1	
300.781250	6.40000000E+1	
301.269530	6.00000000E+1	
301.757810	6.30000000E+1	
302.246090	8.50000000E+1	
302.734380	7.50000000E+1	
303.222660	6.20000000E+1	
303.710940	6.50000000E+1	
304.199220	5.70000000E+1	
304.687500	5.30000000E+1	
305.175780	7.10000000E+1	
305.664060	8.60000000E+1	
306.152340	6.60000000E+1	
306.640630	6.80000000E+1	
307.128910	6.50000000E+1	
307.617190	8.40000000E+1	
308.105470	6.50000000E+1	
308.593750	6.00000000E+1	
309.08200	6.80000000E+1	
309.570310	7.50000000E+1	
310.058590	6.00000000E+1	
310.546880	6.70000000E+1	
311.035160	6.40000000E+1	
311.523440	5.70000000E+1	
312.011720	8.00000000E+1	
312.500	6.80000000E+1	
312.988280	6.50000000E+1	
313.476560	6.80000000E+1	
313.964840	5.10000000E+1	
314.453130	6.20000000E+1	
314.941410	5.70000000E+1	
315.429690	8.30000000E+1	
315.91800	6.80000000E+1	
316.406250	5.90000000E+1	
316.894530	6.50000000E+1	
317.382810	5.80000000E+1	
317.871090	7.50000000E+1	
318.359380	6.50000000E+1	
318.847660	5.90000000E+1	
319.335940	6.10000000E+1	
319.824220	5.90000000E+1	
320.312500	7.60000000E+1	
320.800780	7.30000000E+1	
321.289060	6.40000000E+1	
321.777340	5.60000000E+1	
322.265630	6.40000000E+1	
322.753910	6.90000000E+1	
323.242190	7.70000000E+1	
323.730470	7.90000000E+1	
324.218750	5.70000000E+1	
324.70700	6.50000000E+1	
325.195310	7.90000000E+1	
325.683590	5.30000000E+1	
326.171880	6.00000000E+1	
326.660160	6.10000000E+1	
327.148440	8.50000000E+1	
327.636720	5.90000000E+1	
328.12500	6.70000000E+1	
328.613280	6.00000000E+1	
329.101560	4.60000000E+1	
329.589840	5.80000000E+1	
330.078130	5.40000000E+1	
330.566410	6.80000000E+1	
331.054690	5.90000000E+1	
331.54300	5.40000000E+1	
332.031250	7.20000000E+1	
332.519530	6.90000000E+1	
333.007810	7.50000000E+1	
333.496090	4.90000000E+1	
333.984380	6.00000000E+1	
334.472660	5.70000000E+1	
334.960940	7.10000000E+1	
335.449220	7.80000000E+1	
335.937500	7.10000000E+1	
336.425780	6.70000000E+1	
336.914060	6.70000000E+1	
337.402340	6.20000000E+1	
337.890630	6.40000000E+1	
338.378910	5.70000000E+1	
338.867190	6.40000000E+1	
339.355470	6.30000000E+1	
339.843750	5.50000000E+1	
340.33200	6.00000000E+1	
340.820310	5.60000000E+1	
341.308590	7.60000000E+1	
341.796880	6.50000000E+1	
342.285160	7.30000000E+1	
342.773440	5.50000000E+1	
343.261720	6.40000000E+1	
343.7500	5.90000000E+1	
344.238280	5.90000000E+1	
344.726560	6.20000000E+1	
345.214840	7.20000000E+1	
