Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
18.816,56,62,42,78,60,62,70,55,42,65,57,42,42,43,34,52,55,46
18.944,53,60,43,89,68,71,53,57,45,64,55,37,49,33,39,61,50,40
19.072,72,54,34,63,54,60,58,43,39,67,64,51,59,37,42,62,62,54
19.2,76,60,43,78,59,66,56,52,35,55,68,55,48,34,39,59,47,57
19.328,73,70,39,57,55,67,55,56,32,58,61,43,44,48,35,63,57,33
19.456,69,53,42,59,77,66,45,41,44,63,40,43,45,34,27,53,50,62
19.584,73,54,28,66,64,66,44,53,39,67,62,47,48,44,36,47,46,54
19.712,75,51,37,68,55,60,56,49,35,68,55,39,34,46,36,44,62,49
19.84,57,64,40,72,71,66,52,43,39,62,47,43,52,36,32,54,59,58
19.968,60,57,36,70,67,57,49,56,49,58,61,33,57,36,31,60,43,42
20.096,65,59,44,70,52,62,58,54,46,63,65,44,43,35,31,56,47,35
20.224,52,60,46,61,72,78,55,47,33,70,46,41,53,30,44,44,56,45
20.352,58,61,41,63,70,73,70,57,40,59,61,45,39,33,38,57,47,57
20.48,72,57,37,71,49,62,67,55,31,59,55,45,43,47,33,63,60,37
20.608,60,62,39,59,57,68,54,57,43,60,67,36,54,57,35,57,50,45
20.736,70,60,33,67,50,68,64,53,48,71,31,39,48,52,36,54,44,34
20.864,70,66,39,65,57,63,57,59,41,62,56,39,47,29,31,56,40,37
20.992,54,70,42,61,81,44,56,49,48,59,56,41,42,50,47,55,45,56
21.12,72,71,37,82,60,67,52,52,34,66,57,39,57,43,31,60,49,46
21.248,52,55,34,62,59,59,64,44,43,64,50,38,48,47,37,52,50,53
21.376,64,59,36,65,73,55,48,48,49,62,42,41,46,40,33,54,52,46
